"url","teacher","teacher_link","top_responder","avg_star_rating","total_reviews","total_students","total_courses"
"https://www.udemy.com/apache-spark-20-python-do-big-data-analytics-ml/","V2 Maestros, LLC","https://www.udemy.com/user/kumaranponnambalam/","","4.2","3707","37136","13"
"https://www.udemy.com/the-comprehensive-programming-in-r-course/","Geoffrey Hubona, Ph.D.","https://www.udemy.com/user/drgeoffreyhubona/","","4","1600","13300","28"
"https://www.udemy.com/introduction-to-r/","Jagannath Rajagopal","https://www.udemy.com/user/jagannathrajagopal/","","4.3","264","3990","1"
"https://www.udemy.com/learn-data-visualisation-with-tableau-9/","Matt Francis","https://www.udemy.com/user/mattfrancis5/","","4.5","224","1727","1"
"https://www.udemy.com/market-analytics/","Scandinavian Institute of Business Analytics","https://www.udemy.com/user/scandinavianinstituteofbusinessanalytics/","","3.9","170","2342","4"
"https://www.udemy.com/bpmn-for-business-analysts/","Zbigniew Misiak","https://www.udemy.com/user/55380a4658547/","","4.4","237","1987","2"
"https://www.udemy.com/learn-data-mining-clustering-segmentation-using-rtableau/","ExcelR Solutions","https://www.udemy.com/user/5553b3eb96db8/","","4","835","8022","8"
"https://www.udemy.com/a-flying-introduction-to-amazon-web-services-cloud/","Dhruv Bais","https://www.udemy.com/user/548657673a1b6/","","4.1","3022","46062","23"
"https://www.udemy.com/pig-for-wrangling-big-data/","Loony Corn","https://www.udemy.com/user/janani-ravi-2/","","4.3","6169","45832","77"
"https://www.udemy.com/analytics-case-studies/","Gopal Prasad Malakar","https://www.udemy.com/user/gopalprasadmalakar/","","4.2","2186","25467","16"
"https://www.udemy.com/the-ultimate-guide-for-land-surveying-with-drones-part-3/","Huviair Technologies","https://www.udemy.com/user/huviair-technologies/","","4.6","209","637","3"
"https://www.udemy.com/the-ultimate-guide-for-land-surveying-with-drones-part-3/","Vikshut Mundkur","https://www.udemy.com/user/vikshut-mundkur-2/","","4.6","209","637","3"
"https://www.udemy.com/the-ultimate-guide-for-land-surveying-with-drones-part-3/","Arjun Janananda","https://www.udemy.com/user/arjunpjanananda/","","4.6","209","637","3"
"https://www.udemy.com/applied-multivariate-analysis-with-r/","Geoffrey Hubona, Ph.D.","https://www.udemy.com/user/drgeoffreyhubona/","","4","1600","13301","28"
"https://www.udemy.com/the-complete-qlikview-boot-camp/","Paul Scotchford","https://www.udemy.com/user/paulscotchford2/","","4.5","2180","31334","4"
"https://www.udemy.com/architecting-big-data-solutions/","V2 Maestros, LLC","https://www.udemy.com/user/kumaranponnambalam/","","4.2","3707","37137","13"
